Trading Period Start Date & Time,AK,BP,CH,HM,IN,NL,NR,PN,WC,WN,NZ
1/11/2018 23:30,798.9,305,495.1,329.8,878.2,274.9,240.3,231.6,161.6,267.1,"3,982.50"
1/11/2018 23:00,862.9,316.2,507.4,354,898.1,298.4,250.5,246.3,170.6,295.2,"4,199.50"
1/11/2018 22:30,927.4,329.3,519.2,379.4,898.1,315.3,244.1,254.3,171.4,320.7,"4,359.10"
1/11/2018 22:00,985,346.4,536.4,414.3,922.1,344.5,254.4,274.4,183.8,353.8,"4,615.20"
1/11/2018 21:30,"1,052.80",365.3,551.5,451.7,944,374.8,263.8,301,195.2,383.9,"4,883.90"
1/11/2018 21:00,"1,111.30",385.5,570,469.5,959.3,399.4,281.8,321.6,201.2,404.9,"5,104.60"
1/11/2018 20:30,"1,141.50",396.8,571.7,429,959.7,416.1,307.5,329.1,204.8,417.7,"5,173.80"
1/11/2018 20:00,"1,156.60",402.9,547.7,432,954.7,420.6,314.6,331.4,201.5,414.1,"5,176.20"
1/11/2018 19:30,"1,136.80",402.1,539.3,429.1,956.4,410.9,312.6,322.7,197.3,400.2,"5,107.30"
1/11/2018 19:00,"1,128.50",409.6,538.7,430.4,960,406.2,311.9,326.7,194.8,396.2,"5,103.10"
1/11/2018 18:30,"1,125.90",420.6,545.4,437.5,968,408.5,311.7,331.8,196.7,398.6,"5,144.80"
1/11/2018 18:00,"1,104.80",422.2,548.8,447.1,974.6,405.5,308.3,337.7,200.7,394.5,"5,144.30"
1/11/2018 17:30,"1,098.60",410.3,549,475.3,968,404.8,302.9,344.6,201.7,393.8,"5,149.10"
1/11/2018 17:00,"1,077.20",398.8,545.5,471.4,968.3,393.6,296,346.4,198.3,389.7,"5,085.10"
1/11/2018 16:30,"1,078.00",391.2,545.8,477.3,960.4,385.5,288,347.9,200.6,388.3,"5,063.00"
1/11/2018 16:00,"1,094.00",391.8,547.6,473.4,957.4,377.5,304,343.6,201.3,383.6,"5,074.20"
1/11/2018 15:30,"1,089.00",391.1,553.5,461.8,957,368.3,312.1,340.4,201.6,374.1,"5,048.90"
1/11/2018 15:00,"1,075.60",377.5,554.4,440.6,948.9,359.7,303.6,330.1,198.1,369.8,"4,958.30"
1/11/2018 14:30,"1,073.40",369.9,558.2,421.1,935.7,360.6,294.9,322.2,196.2,372.6,"4,904.70"
1/11/2018 14:00,"1,082.50",367.5,570.9,413.7,942.7,360.4,287.8,318,198.1,379.2,"4,921.00"
1/11/2018 13:30,"1,088.80",368.6,575.4,418.8,947.9,363.8,278.7,320.3,198.7,386.6,"4,947.60"
1/11/2018 13:00,"1,099.20",371.8,589.5,424.9,947.2,367.9,273,319.1,200.9,398.2,"4,991.80"
1/11/2018 12:30,"1,102.40",372.3,592.5,426.4,953.4,370.6,271.7,321.3,207.8,403.1,"5,021.50"
