Date,NZ TOTAL(MW),NZ TOTAL(MVAR)
15/11/2020 21:15,4431.07,-7.83
15/11/2020 21:20,4431.83,-8.04
15/11/2020 21:25,4343.17,-11.8
15/11/2020 21:30,4309.09,-24.94
15/11/2020 21:35,4288.6,-28.18
15/11/2020 21:40,4265.34,-42.21
15/11/2020 21:45,4226.39,-40.44
15/11/2020 21:50,4207.98,-35.22
15/11/2020 21:55,4187.24,-40.81
15/11/2020 22:00,4138.41,-52.62
15/11/2020 22:05,4119.93,-49.37
15/11/2020 22:10,4066.43,-59.44
15/11/2020 22:15,4048.52,-63.61
15/11/2020 22:20,4029.12,-67.84
15/11/2020 22:25,4000.56,-62.73
15/11/2020 22:30,3960.24,-67.05
15/11/2020 22:35,3928.38,-84.15
15/11/2020 22:40,3892.91,-81.94
15/11/2020 22:45,3867.58,-83.83
15/11/2020 22:50,3838.8,-84.94
15/11/2020 22:55,3807.9,-79.4
15/11/2020 23:00,3784.68,-84.87
15/11/2020 23:05,3799.95,-80.81
15/11/2020 23:10,3765.14,-94.96
15/11/2020 23:15,3748.01,-86.06
15/11/2020 23:20,3731.94,-96.66
15/11/2020 23:25,3710.89,-94.78
15/11/2020 23:30,3666.75,-110.61
15/11/2020 23:35,3649.44,-114.74
15/11/2020 23:40,3623.5,-113.56
15/11/2020 23:45,3591.4,-120.36
15/11/2020 23:50,3570.55,-120.93
15/11/2020 23:55,3538.79,-124.35
16/11/2020 0:00,3522.13,-124.2
16/11/2020 0:05,3501.32,-116.45
16/11/2020 0:10,3491.27,-119.47
16/11/2020 0:15,3473.47,-120.4
16/11/2020 0:20,3431.45,-142.35
16/11/2020 0:25,3424.76,-135.16
16/11/2020 0:30,3400.98,-141.88
16/11/2020 0:35,3398.1,-137.58
16/11/2020 0:40,3380.53,-129.91
16/11/2020 0:45,3381.83,-123.94
16/11/2020 0:50,3365.33,-134.15
16/11/2020 0:55,3335.2,-136.2
16/11/2020 1:00,3321.54,-138.24
16/11/2020 1:05,3317.62,-139.06
16/11/2020 1:10,3299.39,-138.91
16/11/2020 1:15,3286.6,-136.49
16/11/2020 1:20,3278.84,-141.68
16/11/2020 1:25,3244.33,-154.21
16/11/2020 1:30,3232.91,-146.22
16/11/2020 1:35,3214.88,-155.52
16/11/2020 1:40,3215.38,-140.56
16/11/2020 1:45,3189.58,-153.81
16/11/2020 1:50,3179,-154.16
16/11/2020 1:55,3175.3,-151.24
16/11/2020 2:00,3166.78,-148.42
16/11/2020 2:05,3162.46,-149.37
